108	B8	7902.133
107	A♯8/B♭8	7458.620
106	A8	7040.000
105	G♯8/A♭8	6644.875
104	G8	6271.927
103	F♯8/G♭8	5919.911
102	F8	5587.652
101	E8	5274.041
100	D♯8/E♭8	4978.032
99	D8	4698.636
98	C♯8/D♭8	4434.922
88	C8 Eighth octave	4186.009
87	B7	3951.066
86	A♯7/B♭7	3729.310
85	A7	3520.000
84	G♯7/A♭7	3322.438
83	G7	3135.963
82	F♯7/G♭7	2959.955
81	F7	2793.826
80	E7	2637.020
79	D♯7/E♭7	2489.016
78	D7	2349.318
77	C♯7/D♭7	2217.461
76	C7 Double high C	2093.005
75	B6	1975.533
74	A♯6/B♭6	1864.655
73	A6	1760.000
72	G♯6/A♭6	1661.219
71	G6	1567.982
70	F♯6/G♭6	1479.978
69	F6	1396.913
68	E6	1318.510
67	D♯6/E♭6	1244.508
66	D6	1174.659
65	C♯6/D♭6	1108.731
64	C6 Soprano C (High C)	1046.502
63	B5	987.7666
62	A♯5/B♭5	932.3275
61	A5	880.0000
60	G♯5/A♭5	830.6094
59	G5	783.9909
58	F♯5/G♭5	739.9888
57	F5	698.4565
56	E5	659.2551
55	D♯5/E♭5	622.2540
54	D5	587.3295
53	C♯5/D♭5	554.3653
52	C5 Tenor C	523.2511
51	B4	493.8833
50	A♯4/B♭4	466.1638
49	A4 A440	440.0000
48	G♯4/A♭4	415.3047
47	G4	391.9954
46	F♯4/G♭4	369.9944
45	F4	349.2282
44	E4	329.6276
43	D♯4/E♭4	311.1270
42	D4	293.6648
41	C♯4/D♭4	277.1826
40	C4 Middle C	261.6256
39	B3	246.9417
38	A♯3/B♭3	233.0819
37	A3	220.0000
36	G♯3/A♭3	207.6523
35	G3	195.9977
34	F♯3/G♭3	184.9972
33	F3	174.6141
32	E3	164.8138
31	D♯3/E♭3	155.5635
30	D3	146.8324
29	C♯3/D♭3	138.5913
28	C3	130.8128
27	B2	123.4708
26	A♯2/B♭2	116.5409
25	A2	110.0000
24	G♯2/A♭2	103.8262
23	G2	97.99886
22	F♯2/G♭2	92.49861
21	F2	87.30706
20	E2	82.40689
19	D♯2/E♭2	77.78175
18	D2	73.41619
17	C♯2/D♭2	69.29566
16	C2 Deep C	65.40639
15	B1	61.73541
14	A♯1/B♭1	58.27047
13	A1	55.00000
12	G♯1/A♭1	51.91309
11	G1	48.99943
10	F♯1/G♭1	46.24930
9	F1	43.65353
8	E1	41.20344
7	D♯1/E♭1	38.89087
6	D1	36.70810
5	C♯1/D♭1	34.64783
4	C1 Pedal C	32.70320
3	B0	30.86771
2	A♯0/B♭0	29.13524
1	A0	27.50000
